,0,1,2,3,4,5
514359994,514360024,569659130,664616196,,,
514360024,514359994,1869824694,5007422319,,,
1869824694,514360024,514360039,1869824708,,,
514360039,1869824694,747813021,,,,
1588267540,472469540,1588267539,1588267545,,,
472469540,1588267540,1588267545,472469543,,,
1588267554,28814200,2730974375,1588267545,,,
1588267543,28814193,1588267546,1588267539,,,
28814193,1588267543,1588267539,1126063809,,,
1588267539,28814193,1588267543,1588267540,,,
28818020,1588267546,2994632762,1871154026,,,
1588267546,28818020,2730758114,1588267543,,,
2994632762,28818020,674920177,,,,
2730758114,1871154026,1588267546,1588267555,,,
1871154026,2730758114,28818020,2730974412,,,
2998260573,28814200,2998260574,,,,
1588267545,472469540,1588267540,1588267554,,,
514737850,2319361169,,,,,
2319361169,514737850,514737851,,,,
514755981,514755980,2977861427,282539339,2429035530,,
514755980,514755981,513628938,282539345,,,
537994445,1975821880,2654155377,1024923729,,,
1975821880,537994445,2654155379,,,,
515628390,1861972012,533297356,2661562398,,,
1861972012,515628390,2697593509,1861972011,,,
2697593509,1861972012,517330092,2697593514,,,
517330092,2697593509,655308265,1729156388,,,
655308265,517330092,1731292868,655308272,,,
1731292868,655308265,516008579,1731292867,,,
516008579,1731292868,506460654,655308235,,,
1037000313,446215724,279197944,279008275,,,
446215724,1037000313,2479088050,,,,
506309948,515768291,506309958,506309989,,,
515768291,506309948,2497272302,2013385803,,,
655308235,516008579,655308237,655308272,,,
655308237,655308235,516008599,655308270,,,
516008599,655308237,516008606,516027175,,,
516008606,516008599,655308257,,,,
655308257,516008606,655308180,655308208,,,
655308180,655308257,655308181,655308208,,,
655308181,655308180,655308168,655308209,,,
655308168,655308181,655308153,655308210,,,
655308153,655308168,516008640,655308210,,,
516008640,655308153,655308220,655308202,,,
516027175,516008599,,,,,
28818196,28818195,446215642,529603753,2978106827,,
28818195,28818196,529603748,,,,
446215673,1487130329,1866829388,529888776,,,
1487130329,446215673,3922266554,,,,
516395430,516395416,2568230615,516395423,,,
516395416,516395430,516395423,1868219739,1288707589,,
516395423,516395416,516395430,486120727,,,
1868219739,516395416,2349761884,1868219753,,,
2349761884,1868219739,2349916963,2349761872,,,
2349916963,2349761884,539546543,2349916958,,,
539546543,2349916963,540137671,2429829192,,,
540137671,539546543,1224969569,2601121039,,,
768065106,559547131,484256853,,,,
559547131,768065106,559547112,484256838,,,
486120727,2638377887,564824115,516395423,,,
2638377887,486120727,2638377884,559547144,,,
486098009,2162413358,2162328722,564209398,564196887,,
2162413358,486098009,534688298,2162413350,,,
282539330,2978833954,529916107,534677648,529916119,516432821,
2978833954,282539330,2231604468,,,,
484242657,516454294,516454429,1730356147,3653473474,,
516454294,484242657,516454323,533905339,,,
516454323,516454294,533905338,516454429,,,
533905338,516454323,534690695,533905339,,,
534690695,533905338,530020637,534690696,,,
530020637,534690695,516454370,530020576,,,
516454370,530020637,516454378,,,,
516454429,516454323,484242657,2164964475,,,
446215737,2024738859,446215736,4319690282,,,
2024738859,446215737,2024738860,2024738890,,,
2024738860,2024738859,2024738870,2956130533,,,
1729156388,517330092,2732590874,1729156413,,,
2732590874,1729156388,517335878,3528025398,,,
517335878,2732590874,2396116128,,,,
446215719,28818253,608368798,608368973,,,
28818253,446215719,534455963,1776891229,534455953,,
517373425,2979730131,2318123723,2979730132,,,
2979730131,517373425,535394361,,,,
2318123723,517373425,3423498807,,,,
517712337,517712368,845106909,2862141976,,,
517712368,517712337,517712288,3966506126,,,
517712288,517712368,2885685503,845106890,,,
517720374,1928650722,2871222450,517720372,,,
1928650722,517720374,517720352,2871222461,,,
517720403,1945890598,2862141909,2964383833,,,
1945890598,517720403,517720427,1945890607,,,
517720427,1945890598,581942159,1144298056,,,
581942159,517720427,2680082996,,,,
1704227903,506317912,1426377060,2084245818,,,
1426377060,1704227903,574309953,1704227925,,,
574309953,1426377060,1704227929,574312399,,,
1704227929,574309953,1704227933,,,,
517822412,2977861423,516421204,517843245,,,
2977861423,517822412,1676564727,,,,
28818164,437385385,534690694,3653477949,3653477935,,
437385385,28818164,529915267,,,,
534690694,28818164,534690693,528701125,,,
2977861427,514755981,517843245,,,,
3187569064,2202857513,282539309,,,,
2202857513,3187569064,2202857520,1466717397,,,
28809604,518433797,3077304608,512439003,583820818,,
518433797,28809604,518433855,,,,
514737845,1465495338,2984069352,,,,
1465495338,514737845,514745047,1465495343,,,
514745047,1465495338,528210613,282539228,,,
282539229,2984069355,492750201,,,,
2984069355,282539229,2984069352,,,,
1620654316,507246996,1661202187,1620654314,,,
1661202187,1620654316,506701995,1661202145,,,
506701995,1661202187,1892845230,1661202129,1892845249,,
518838483,518838491,1024952818,517822442,,,
518838491,518838483,1960231214,4412374309,,,
1960231214,518838491,518838504,1960231215,,,
518838504,1960231214,517825865,533901577,,,
518860213,518860030,1036326143,518860014,,,
518860030,518860213,5426622807,518860014,1564882136,,
1036326143,518860213,1036326232,,,,
518860014,518860213,518860030,961477126,,,
518878363,624516536,3187569095,3158990112,,,
624516536,518878363,518878411,,,,
528184298,518878482,528184281,1446139911,,,
518878482,528184298,528184304,2914200364,,,
518926888,1635278896,1704227808,506317912,,,
1635278896,518926888,2898813910,2898813910,,,
2898813910,1635278896,518926915,1635278896,,,
518926915,2898813910,1635278983,2084245815,1763102073,,
255903811,829913012,829952199,1455739195,,,
829913012,255903811,829905198,829913057,,,
829905198,829913012,4754867968,4212230819,,,
4754867968,829905198,1960231211,4458230744,,,
1960231211,4754867968,255903803,4458230748,,,
255903803,1960231211,1181222493,4934417532,,,
1033801022,569659125,4328490696,,,,
569659125,1033801022,1035984138,4328490708,,,
1035984138,569659125,569659119,1035984200,,,
569659119,1035984138,944024519,1652793345,,,
564142809,538449982,528171593,1713880319,2915609261,1548466066,
538449982,564142809,296594913,3220891426,,,
296594913,538449982,2397749383,2914200282,1512683283,2397749382,1989442440
528143702,2105185835,2396085351,922304968,1132167580,,
2105185835,528143702,518863729,2105185832,,,
518863729,2105185835,2621958474,2105185820,,,
2621958474,518863729,518860141,4532771095,,,
518860141,2621958474,539585286,4222279308,1651431239,,
564129227,539378256,528150854,,,,
539378256,564129227,1497256740,1863939225,,,
528150854,2053894649,564129227,,,,
2053894649,528150854,2053894651,2053894645,,,
2053894651,2053894649,1185602375,2053894648,,,
1185602375,2053894651,528143712,1185602361,,,
528143712,1185602375,1446975566,610433814,,,
528150905,528143700,3210881362,,,,
528143700,528150905,1787038135,922370153,,,
1787038135,528143700,1132167580,1787038139,,,
1132167580,1787038135,528143702,,,,
528159387,528159434,1594374822,1515177317,528159362,,
528159434,528159387,1515176385,1515176680,,,
1515176385,528159434,1515176505,1515176196,1515175937,,
1059703772,528171593,2915609282,,,,
528171593,1059703772,564142809,471928333,,,
309380341,2072526568,2072526587,1470547624,,,
2072526568,309380341,2072526559,2072526559,,,
2072526559,2072526568,579927590,2072526568,,,
579927590,2072526559,309380359,579927591,579942008,,
528184281,2914200360,528184304,528184298,,,
2914200360,528184281,568020910,,,,
528184304,528184281,518878482,518878436,,,
528206166,528206182,1679230947,534455945,28814416,,
528206182,528206166,1679230947,282539228,,,
528226175,4265003255,528226182,,,,
